Sample 1: No. iterations = 512, Error = 0.5
Sample 2: No. iterations = 512, Error = 0.5
Sample 3: No. iterations = 512, Error = 0.5
Sample 4: No. iterations = 512, Error = 0.5
Sample 5: No. iterations = 512, Error = 0.5
Sample 6: No. iterations = 512, Error = 0.5
Sample 7: No. iterations = 512, Error = 0.00274301
Sample 8: No. iterations = 512, Error = 0.5
Sample 9: No. iterations = 512, Error = 0.5
Sample 10: No. iterations = 512, Error = 0.503318
Sample 11: No. iterations = 512, Error = 0.500882
Sample 12: No. iterations = 512, Error = 0.5
Sample 13: No. iterations = 512, Error = 1.00008
Sample 14: No. iterations = 512, Error = 0.502458
Sample 15: No. iterations = 512, Error = 0.0223347
Sample 16: No. iterations = 512, Error = 0.5
Sample 17: No. iterations = 512, Error = 0.49998
Sample 18: No. iterations = 512, Error = 0.0192634
Sample 19: No. iterations = 512, Error = 0.504497
Sample 20: No. iterations = 512, Error = 0.5
Sample 21: No. iterations = 512, Error = 0.510328
Sample 22: No. iterations = 512, Error = 0.0498566
Sample 23: No. iterations = 512, Error = 0.5
Sample 24: No. iterations = 512, Error = 0.0955532
Sample 25: No. iterations = 512, Error = 0.0118778
Sample 26: No. iterations = 512, Error = 0.5
Sample 27: No. iterations = 512, Error = 0.102697
Sample 28: No. iterations = 512, Error = 0.5
Sample 29: No. iterations = 512, Error = 0.485414
Sample 30: No. iterations = 512, Error = 0.5
Sample 31: No. iterations = 512, Error = 0.499226
Sample 32: No. iterations = 512, Error = 0.500196
Sample 33: No. iterations = 512, Error = 0.5
Sample 34: No. iterations = 512, Error = 0.505016
Sample 35: No. iterations = 512, Error = 0.499519
Sample 36: No. iterations = 512, Error = 0.5
Sample 37: No. iterations = 512, Error = 0.5
Sample 38: No. iterations = 512, Error = 0.5
Sample 39: No. iterations = 512, Error = 0.5
Sample 40: No. iterations = 512, Error = 0.5
Sample 41: No. iterations = 512, Error = 0.487631
Sample 42: No. iterations = 512, Error = 0.5
Sample 43: No. iterations = 512, Error = 0.50004
Sample 44: No. iterations = 512, Error = 0.5
Sample 45: No. iterations = 512, Error = 0.5
Sample 46: No. iterations = 512, Error = 0.5
Sample 47: No. iterations = 512, Error = 0.503421
Sample 48: No. iterations = 512, Error = 0.5
Sample 49: No. iterations = 512, Error = 0.00353612
Sample 50: No. iterations = 512, Error = 0.5
Sample 51: No. iterations = 512, Error = 0.5
Sample 52: No. iterations = 512, Error = 0.5
Sample 53: No. iterations = 512, Error = 0.5
Sample 54: No. iterations = 512, Error = 0.500265
Sample 55: No. iterations = 512, Error = 0.5
Sample 56: No. iterations = 512, Error = 0.5
Sample 57: No. iterations = 512, Error = 0.5
Sample 58: No. iterations = 512, Error = 0.5
Sample 59: No. iterations = 512, Error = 0.501353
Sample 60: No. iterations = 512, Error = 0.5
Sample 61: No. iterations = 512, Error = 0.500477
Sample 62: No. iterations = 512, Error = 0.5
Sample 63: No. iterations = 512, Error = 0.5
Sample 64: No. iterations = 512, Error = 0.5
Sample 65: No. iterations = 512, Error = 0.5
Sample 66: No. iterations = 512, Error = 0.5
Sample 67: No. iterations = 512, Error = 0.5
Sample 68: No. iterations = 512, Error = 0.5
Sample 69: No. iterations = 512, Error = 1.00088
Sample 70: No. iterations = 512, Error = 0.5
Sample 71: No. iterations = 512, Error = 0.5
Sample 72: No. iterations = 512, Error = 0.500709
Sample 73: No. iterations = 512, Error = 0.5
Sample 74: No. iterations = 512, Error = 0.5
Sample 75: No. iterations = 512, Error = 0.500211
Sample 76: No. iterations = 512, Error = 0.5
Sample 77: No. iterations = 512, Error = 0.5
Sample 78: No. iterations = 512, Error = 0.0378833
Sample 79: No. iterations = 512, Error = 0.355325
Sample 80: No. iterations = 512, Error = 0.500501
Sample 81: No. iterations = 512, Error = 0.5
Sample 82: No. iterations = 512, Error = 0.5
Sample 83: No. iterations = 512, Error = 0.5
Sample 84: No. iterations = 512, Error = 0.5
Sample 85: No. iterations = 512, Error = 1.00035
Sample 86: No. iterations = 512, Error = 0.5
Sample 87: No. iterations = 512, Error = 0.5
Sample 88: No. iterations = 512, Error = 0.5
Sample 89: No. iterations = 512, Error = 0.496693
Sample 90: No. iterations = 512, Error = 0.5
Sample 91: No. iterations = 512, Error = 0.5
Sample 92: No. iterations = 512, Error = 0.5
Sample 93: No. iterations = 512, Error = 0.500658
Sample 94: No. iterations = 512, Error = 0.5
Sample 95: No. iterations = 512, Error = 0.5
Sample 96: No. iterations = 512, Error = 0.5
Sample 97: No. iterations = 512, Error = 0.5
Sample 98: No. iterations = 512, Error = 0.5
Sample 99: No. iterations = 512, Error = 0.5
Sample 100: No. iterations = 512, Error = 0.5
Sample 101: No. iterations = 512, Error = 0.5
Sample 102: No. iterations = 512, Error = 0.5
Sample 103: No. iterations = 512, Error = 0.500001
Sample 104: No. iterations = 512, Error = 0.5
Sample 105: No. iterations = 512, Error = 0.5
Sample 106: No. iterations = 512, Error = 0.5
Sample 107: No. iterations = 512, Error = 0.5
Sample 108: No. iterations = 512, Error = 0.5
Sample 109: No. iterations = 512, Error = 0.5
Sample 110: No. iterations = 512, Error = 0.5
Sample 111: No. iterations = 512, Error = 0.5
Sample 112: No. iterations = 512, Error = 0.5
Sample 113: No. iterations = 512, Error = 0.5
Sample 114: No. iterations = 512, Error = 0.5
Sample 115: No. iterations = 512, Error = 0.5
Sample 116: No. iterations = 512, Error = 0.5
Sample 117: No. iterations = 512, Error = 0.5
Sample 118: No. iterations = 512, Error = 0.5
Sample 119: No. iterations = 512, Error = 0.5
Sample 120: No. iterations = 512, Error = 0.5
Sample 121: No. iterations = 512, Error = 0.5
Sample 122: No. iterations = 512, Error = 0.5
Sample 123: No. iterations = 512, Error = 0.500049
Sample 124: No. iterations = 512, Error = 0.5
Sample 125: No. iterations = 512, Error = 0.5
Sample 126: No. iterations = 512, Error = 0.5
Sample 127: No. iterations = 512, Error = 0.5
Sample 128: No. iterations = 512, Error = 0.5
Sample 129: No. iterations = 512, Error = 0.5
Sample 130: No. iterations = 512, Error = 0.5
Sample 131: No. iterations = 512, Error = 0.5
Sample 132: No. iterations = 512, Error = 0.5
Sample 133: No. iterations = 512, Error = 0.5
Sample 134: No. iterations = 512, Error = 0.5
Sample 135: No. iterations = 512, Error = 0.5
Sample 136: No. iterations = 512, Error = 0.5
Sample 137: No. iterations = 512, Error = 0.5
Sample 138: No. iterations = 512, Error = 0.5
Sample 139: No. iterations = 512, Error = 0.5
Sample 140: No. iterations = 512, Error = 0.5
Sample 141: No. iterations = 512, Error = 0.5
Sample 142: No. iterations = 512, Error = 0.5
Sample 143: No. iterations = 512, Error = 0.5
Sample 144: No. iterations = 512, Error = 0.5
Sample 145: No. iterations = 512, Error = 0.5
Sample 146: No. iterations = 512, Error = 0.5
Sample 147: No. iterations = 512, Error = 0.5
Sample 148: No. iterations = 512, Error = 0.5
Sample 149: No. iterations = 512, Error = 0.5
Sample 150: No. iterations = 512, Error = 0.5
Sample 151: No. iterations = 512, Error = 0.5
Sample 152: No. iterations = 512, Error = 0.5
Sample 153: No. iterations = 512, Error = 0.5
Sample 154: No. iterations = 512, Error = 0.5
Sample 155: No. iterations = 512, Error = 0.5
Sample 156: No. iterations = 512, Error = 0.5
Sample 157: No. iterations = 512, Error = 0.5
Sample 158: No. iterations = 512, Error = 0.5
Sample 159: No. iterations = 512, Error = 0.50038
Sample 160: No. iterations = 512, Error = 0.5
Sample 161: No. iterations = 512, Error = 0.5
Sample 162: No. iterations = 512, Error = 0.5
Sample 163: No. iterations = 512, Error = 0.5
Sample 164: No. iterations = 512, Error = 0.5
Sample 165: No. iterations = 512, Error = 0.500001
Sample 166: No. iterations = 512, Error = 0.5
Sample 167: No. iterations = 512, Error = 0.5
Sample 168: No. iterations = 512, Error = 0.5
Sample 169: No. iterations = 512, Error = 0.5
Sample 170: No. iterations = 512, Error = 0.5
Sample 171: No. iterations = 512, Error = 0.5
Sample 172: No. iterations = 512, Error = 0.5
Sample 173: No. iterations = 512, Error = 0.5
Sample 174: No. iterations = 512, Error = 0.5
Sample 175: No. iterations = 512, Error = 0.5
Sample 176: No. iterations = 512, Error = 0.5
Sample 177: No. iterations = 512, Error = 0.5
Sample 178: No. iterations = 512, Error = 0.5
Sample 179: No. iterations = 512, Error = 0.5
Sample 180: No. iterations = 512, Error = 0.5
Sample 181: No. iterations = 512, Error = 0.5
Sample 182: No. iterations = 512, Error = 0.5
Sample 183: No. iterations = 512, Error = 0.394051
Sample 184: No. iterations = 512, Error = 0.5
Sample 185: No. iterations = 512, Error = 0.5
Sample 186: No. iterations = 512, Error = 0.5
Sample 187: No. iterations = 512, Error = 0.5
Sample 188: No. iterations = 512, Error = 0.5
Sample 189: No. iterations = 512, Error = 0.5
Sample 190: No. iterations = 512, Error = 0.5
Sample 191: No. iterations = 512, Error = 0.5
Sample 192: No. iterations = 512, Error = 0.5
Sample 193: No. iterations = 512, Error = 0.5
Sample 194: No. iterations = 512, Error = 0.5
Sample 195: No. iterations = 512, Error = 0.500767
Sample 196: No. iterations = 512, Error = 0.5
Sample 197: No. iterations = 512, Error = 0.5
Sample 198: No. iterations = 512, Error = 0.5
Sample 199: No. iterations = 512, Error = 0.5
Sample 200: No. iterations = 512, Error = 0.5
Sample 201: No. iterations = 512, Error = 0.5
Sample 202: No. iterations = 512, Error = 0.5
Sample 203: No. iterations = 512, Error = 0.5
Sample 204: No. iterations = 512, Error = 0.5
Sample 205: No. iterations = 512, Error = 0.5
Sample 206: No. iterations = 512, Error = 0.5
Sample 207: No. iterations = 512, Error = 0.5
Sample 208: No. iterations = 512, Error = 0.5
Sample 209: No. iterations = 512, Error = 0.5
Sample 210: No. iterations = 512, Error = 0.5
Sample 211: No. iterations = 512, Error = 0.5
Sample 212: No. iterations = 512, Error = 0.5
Sample 213: No. iterations = 512, Error = 0.5
Sample 214: No. iterations = 512, Error = 0.5
Sample 215: No. iterations = 512, Error = 0.500037
Sample 216: No. iterations = 512, Error = 0.5
Sample 217: No. iterations = 512, Error = 0.5
Sample 218: No. iterations = 512, Error = 0.5
Sample 219: No. iterations = 512, Error = 0.5
Sample 220: No. iterations = 512, Error = 0.5
Sample 221: No. iterations = 512, Error = 0.5
Sample 222: No. iterations = 512, Error = 0.5
Sample 223: No. iterations = 512, Error = 0.5
Sample 224: No. iterations = 512, Error = 0.5
Sample 225: No. iterations = 512, Error = 0.5
Sample 226: No. iterations = 512, Error = 0.5
Sample 227: No. iterations = 512, Error = 0.0668565
Sample 228: No. iterations = 512, Error = 0.5
Sample 229: No. iterations = 512, Error = 0.500682
Sample 230: No. iterations = 512, Error = 0.5
Sample 231: No. iterations = 512, Error = 0.5
Sample 232: No. iterations = 512, Error = 0.5
Sample 233: No. iterations = 512, Error = 0.5
Sample 234: No. iterations = 512, Error = 0.5
Sample 235: No. iterations = 512, Error = 0.5
Sample 236: No. iterations = 512, Error = 0.5
Sample 237: No. iterations = 512, Error = 0.5
Sample 238: No. iterations = 512, Error = 0.5
Sample 239: No. iterations = 512, Error = 0.5
Sample 240: No. iterations = 512, Error = 0.5
Sample 241: No. iterations = 512, Error = 0.5
Sample 242: No. iterations = 512, Error = 0.5
